gene	liver_448_adjacent_non-tumor_tissue	liver_448_tumor	liver_473_adjacent_non-tumor_tissue	liver_473_tumor	liver_510_adjacent_non-tumor_tissue	liver_510_tumor
ALDH1L1-AS2	10	26	27	5	15	5
ALDH1L2	35	75	21	15	4	57
ALDH2	23404	3524	31200	5544	27785	3947
ALDH3A1	15	1030	12	20	29	3
ALDH3A2	7131	6351	6472	5811	5677	2961
ALDH3B1	208	562	89	606	228	1416
ALDH3B2	0	0	0	94	0	1
ALDH4A1	4785	3849	5603	2970	10581	6461
ALDH5A1	3561	2822	4885	5560	3342	569
ALDH6A1	6137	2259	8163	2134	8382	2278
ALDH7A1	1701	1442	2297	1154	1503	636
ALDH8A1	3584	780	4825	507	5579	1184
ALDH9A1	2696	3001	3855	6468	3937	2443
ALDOA	92	1030	44	349	70	279
ALDOB	161118	76509	201462	44465	150750	3005
ALDOC	251	1723	457	3939	832	524
ALG1	140	308	107	292	149	260
ALG10	161	203	159	198	118	216
ALG10B	121	167	120	198	94	148
ALG11	71	91	80	86	89	243
ALG12	294	305	282	710	394	397
ALG13	434	680	299	800	320	609
ALG14	266	822	220	1000	243	354
ALG14-AS1	1	3	1	1	0	1
ALG1L	3	34	3	31	2	0
ALG1L2	1	1	0	0	0	0
ALG1L9P	0	4	1	3	1	6
ALG2	578	1181	580	1565	638	1673
ALG3	431	1343	433	1019	567	1437
ALG5	575	396	616	660	597	1301
ALG6	207	541	185	741	227	634
ALG8	482	1122	613	870	551	1516
ALG9	370	869	357	754	480	1124
ALK	1	8	0	0	1	1
ALKAL1	33	0	3	1	1	1
ALKAL2	238	2	42	0	13	0
ALKBH1	101	161	106	109	102	283
ALKBH2	163	395	188	373	265	262
ALKBH3	144	328	123	198	202	136
ALKBH3-AS1	2	4	0	0	0	0
ALKBH4	70	174	63	123	73	94
ALKBH5	1115	1448	1106	907	972	1181
ALKBH6	115	184	77	228	99	244
ALKBH7	751	352	730	700	684	538
ALKBH8	131	169	134	198	127	182
ALLC	14	0	33	41	14	0
ALMS1	232	833	197	662	205	508
ALMS1-IT1	9	43	9	4	5	14
ALMS1P1	12	5	4	6	11	2
ALOX12	23	26	31	63	17	36
ALOX12-AS1	5	13	3	5	12	14
ALOX12B	1	2	0	0	0	0
ALOX12P2	55	45	11	30	21	42
ALOX15	6	5	4	2	6	0
ALOX15B	2	5	1	3	4	51
ALOX15P1	1	1	0	2	2	1
ALOX5	0	0	0	0	0	0
ALOX5AP	123	56	57	95	46	965
ALOX5_1	0	0	0	0	0	0
ALOXE3	0	0	0	1	1	0
ALPG	0	1	0	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	215	89	139	151	181	209
ALPK2	138	259	178	22	184	1164
ALPK3	126	2312	94	44	70	228
ALPL	648	87	737	462	1201	39
ALPP	0	0	0	1	0	0
ALS2	787	1911	1075	1180	792	2563
ALS2CL	224	686	162	2176	142	192
ALX1	0	1	0	1	0	1
ALX3	13	354	9	311	8	12
ALX4	0	1	0	0	0	3
ALYREF	214	1498	200	875	228	1182
AMACR	128	319	165	104	192	241
AMBN	0	0	0	0	0	0
AMBP	98950	50292	128730	55086	114989	49963
AMBRA1	301	735	273	601	383	703
AMD1	922	1448	555	1497	564	2734
AMDHD1	4204	533	2812	963	2595	446
AMDHD2	166	579	142	195	133	200
AMELX	0	1	0	0	0	0
AMELY	0	0	0	0	0	4
AMER1	182	199	198	242	165	111
AMER2	0	0	0	0	0	1
AMER3	0	0	0	0	0	0
AMFR	3106	2771	2780	840	3018	3489
AMH	1	4	0	8	0	55
AMHR2	28	0	14	0	9	0
AMIGO1	122	678	123	475	56	71
AMIGO2	192	387	150	106	89	157
AMIGO3	19	199	24	352	18	120
AMMECR1	177	358	112	229	115	623
AMMECR1L	373	633	309	617	402	593
AMN	804	24	208	0	176	47
AMN1	39	114	24	93	23	92
AMOT	189	121	204	31	146	259
AMOTL1	547	2023	451	1079	700	408
AMOTL2	866	193	419	103	373	699
AMPD1	7	2	11	0	3	4
AMPD2	597	1259	540	1268	512	1752
AMPD3	105	133	44	98	56	268
AMPH	25	2	4	1	11	3
AMT	570	69	862	693	758	206
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	0	0	0	0
AMY2B	139	102	122	93	62	26
AMZ1	14	67	11	24	13	37
AMZ2	431	1563	421	825	546	760
AMZ2P1	94	98	61	92	72	76
ANAPC1	108	455	94	290	109	381
ANAPC10	114	221	106	101	112	824
ANAPC11	607	1121	630	1352	671	1167
ANAPC13	870	1202	618	913	744	1721
ANAPC15	36	93	58	53	62	64
ANAPC16	1612	859	1660	1503	1636	1341
ANAPC1P1	0	3	0	0	0	0
ANAPC1P2	17	23	18	26	16	5
ANAPC1P4	2	9	1	4	1	10
ANAPC1P6	0	0	0	0	0	0
ANAPC2	296	595	331	588	358	588
ANAPC4	325	468	247	1059	259	603
ANAPC5	1111	2920	1083	2017	1340	4543
ANAPC7	316	1066	331	1148	323	1128
ANG	7193	1849	10658	1329	10057	524
ANGEL1	272	467	308	397	297	1079
ANGEL2	316	577	294	1275	252	508
ANGPT1	82	221	29	21	14	508
ANGPT2	108	630	52	198	102	207
ANGPT4	5	0	0	0	2	2
ANGPTL1	795	64	376	262	366	58
ANGPTL2	397	187	145	129	176	249
ANGPTL3	17603	9972	15766	3936	12746	2314
ANGPTL4	1978	976	368	82	845	525
ANGPTL5	0	0	0	1	0	1
ANGPTL6	165	14	146	15	203	26
ANGPTL7	0	0	4	0	1	0
ANGPTL8	385	191	1438	3755	1089	309
ANHX	0	0	0	0	0	0
ANK1	6	3	6	5	5	587
ANK2	87	155	54	156	39	449
ANK2-AS1	0	0	0	2	0	2
ANK3	674	1209	359	87	203	175
ANK3-DT	0	0	0	0	0	0
ANKAR	31	82	35	38	31	50
ANKDD1A	5	16	8	6	4	6
ANKDD1B	12	2	6	5	2	8
ANKEF1	202	524	144	508	208	569
ANKFN1	1	4	0	1	0	0
ANKFY1	837	896	820	738	1609	1204
ANKH	1537	1569	987	1190	1044	1313
ANKHD1	178	344	160	427	135	171
ANKHD1-EIF4EBP3	13	16	5	8	4	7
ANKIB1	575	1181	442	665	486	1200
ANKK1	3	1	0	1	0	0
ANKLE1	2	8	2	2	2	2
ANKLE2	559	1502	464	994	416	1334
ANKMY1	81	171	98	135	94	176
ANKMY2	311	373	292	264	242	549
ANKRA2	280	289	260	486	248	373
ANKRD1	39	15	1	19	2	10158
ANKRD10	1577	982	1064	2983	687	1728
ANKRD11	1045	915	841	827	661	2000
ANKRD12	2884	2257	2204	3272	1548	3294
ANKRD13A	773	1449	538	2020	654	1810
ANKRD13B	23	30	3	19	5	57
ANKRD13C	385	1069	271	837	200	649
ANKRD13D	119	231	85	220	90	418
ANKRD16	81	154	69	240	93	319
ANKRD17	1707	2808	1630	1843	1360	3040
ANKRD18A	24	8	4	79	5	0
ANKRD18B	6	78	2	19	1	62
ANKRD18CP	1	8	2	8	1	39
ANKRD18DP	0	0	0	0	0	0
ANKRD18DP_1	0	0	0	0	0	0
ANKRD19P	95	99	64	115	95	179
ANKRD2	8	15	1	2	0	1
ANKRD20A1	1	0	0	0	0	0
ANKRD20A11P	1	0	0	0	1	0
ANKRD20A12P	0	0	0	0	0	0
ANKRD20A12P_1	0	0	0	0	0	0
ANKRD20A19P	0	0	0	0	0	0
ANKRD20A21P	4	4	0	0	0	0
ANKRD20A2P	0	0	0	0	0	0
ANKRD20A3P	1	0	0	0	0	0
ANKRD20A4-ANKRD20A20P	6	1	1	1	14	4
ANKRD20A5P	9	1	8	1	1	0
ANKRD20A8P	0	0	2	0	0	0
ANKRD20A9P	0	0	0	0	0	0
ANKRD20A9P_1	0	0	0	0	0	0
ANKRD22	20	21	41	8	213	191
ANKRD23	31	41	24	48	19	39
ANKRD24	57	23	34	11	86	29
ANKRD26	524	721	384	607	210	942
ANKRD26P1	0	3	0	0	0	0
ANKRD26P3	0	0	0	0	0	0
ANKRD27	197	611	216	455	149	1279
ANKRD28	721	1184	594	868	726	655
ANKRD29	140	168	61	132	38	196
ANKRD30A	0	2	0	0	0	69
ANKRD30B	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	4
ANKRD30BP2	0	0	0	0	0	0
ANKRD30BP3	0	0	0	0	0	0
ANKRD31	1	8	0	5	5	8
ANKRD33	1	715	0	0	0	0
ANKRD33B	87	51	31	33	13	388
ANKRD34A	14	12	4	14	7	48
ANKRD34B	2	25	0	0	1	0
ANKRD34C	0	0	2	0	0	0
ANKRD34C-AS1	0	0	0	0	0	0
ANKRD35	27	1	55	471	54	5
ANKRD36	64	43	34	69	12	39
ANKRD36B	62	62	17	40	7	13
ANKRD36BP1	0	0	0	0	0	0
ANKRD36BP2	8	1	14	3	2	30
ANKRD36C	158	74	72	59	18	64
ANKRD37	4	20	7	2	7	5
ANKRD39	109	282	85	210	140	221
ANKRD40	607	1684	563	1305	504	1371
ANKRD40CL	0	3	0	0	0	1
ANKRD42	158	138	113	75	79	173
ANKRD44	456	370	264	281	200	625
ANKRD44-AS1	1	0	1	0	1	0
ANKRD44-IT1	3	1	2	0	1	3
ANKRD45	4	37	2	2	3	32
ANKRD46	604	761	684	175	546	1385
ANKRD49	205	287	177	346	193	436
ANKRD50	508	366	314	220	256	349
ANKRD52	242	2141	207	1118	208	1405
ANKRD53	7	17	8	5	9	2
ANKRD54	201	245	207	424	187	255
ANKRD55	25	1	92	0	72	7
ANKRD6	117	238	104	290	102	214
ANKRD60	0	0	0	0	0	0
ANKRD61	5	11	3	8	5	1
ANKRD62	0	0	1	0	0	0
ANKRD62P1-PARP4P3	0	0	0	0	0	0
ANKRD63	2	1	0	1	2	0
ANKRD65	27	460	49	424	43	73
ANKRD66	0	0	0	0	1	1
ANKRD7	3	5	0	0	0	13
ANKRD9	298	375	277	486	162	284
ANKS1A	516	453	406	880	433	530
ANKS1B	8	45	3	158	6	100
ANKS3	76	121	50	153	30	80
ANKS4B	0	0	0	1	0	0
ANKS4B_1	0	0	0	0	0	0
ANKS6	118	725	80	741	36	16
ANKUB1	0	1	1	1	0	0
ANKZF1	304	699	286	426	284	564
ANLN	91	2137	29	1483	18	1857
ANO1	953	490	1822	455	2357	236
ANO10	248	569	160	434	204	1141
ANO2	7	5	1	2	1	2
ANO3	65	21	39	0	24	398
ANO3-AS1	0	0	0	0	0	0
ANO4	0	1	0	1	1	3
ANO4_1	0	0	0	0	0	0
ANO5	133	569	92	818	156	592
ANO6	1924	5587	2169	3302	1764	4465
ANO7	20	54	24	36	35	32
ANO7L1	14	71	16	17	55	21
ANO8	127	176	90	258	123	183
ANO9	58	42	19	55	11	515
ANOS1	56	13	27	6	49	130
ANP32A	1087	2673	971	1332	1080	3190
ANP32A-IT1	3	5	1	1	1	9
ANP32AP1	33	110	27	44	42	98
ANP32B	1283	2718	1142	2961	888	3265
ANP32C	11	28	13	19	8	44
ANP32D	13	34	12	19	22	32
ANP32E	709	3011	668	4423	560	2991
ANPEP	6997	7157	9733	6828	11188	6434
ANTKMT	165	253	157	279	133	141
ANTXR1	840	119	307	102	141	562
ANTXR2	1220	525	1191	330	809	1058
ANTXRL	0	0	0	0	0	0
ANTXRLP1	4	0	1	0	2	1
ANXA1	815	598	394	317	656	1494
ANXA10	737	77	691	151	1004	72
ANXA11	1427	1534	953	2963	1165	2126
ANXA13	748	165	325	76	154	1561
ANXA2	1417	5117	646	2259	679	9839
ANXA2P1	16	48	3	21	13	103
ANXA2P2	478	1976	216	888	299	3784
ANXA2P3	3	6	0	0	3	10
ANXA2R	40	56	14	91	13	37
ANXA3	351	12	68	1	18	741
ANXA4	6655	4263	3009	2676	1848	3184
ANXA5	3082	5425	1338	3366	2403	9754
ANXA6	2608	3672	3193	1261	4116	1378
ANXA7	1911	1985	1904	2903	2464	2364
ANXA8	34	1	3	8	3	0
ANXA8L1	20	0	1	0	3	0
ANXA9	450	866	424	2388	391	592
AOAH	319	123	207	81	238	574
AOAH-IT1	0	0	1	1	0	2
AOC1	2	0	1	4	1	4
AOC2	13	29	14	24	7	15
AOC3	464	228	325	114	288	465
AOC4P	29	24	83	75	50	3
AOPEP	726	1145	728	636	846	600
AOX1	18878	12781	30181	19562	41964	10055
AOX3P-AOX2P	9	0	8	1	2	1
AP1AR	680	551	405	359	338	475
AP1B1	933	1497	971	2290	1348	2149
AP1B1P1	0	0	0	0	0	0
AP1G1	1794	1849	1484	1439	1602	3316
AP1G2	194	236	94	492	103	226
AP1M1	719	1998	748	906	990	1433
AP1M2	102	848	30	0	8	8
AP1S1	445	1003	414	1150	499	1751
AP1S2	153	129	80	98	122	427
AP1S3	51	101	17	59	14	161
AP2A1	961	1708	764	1584	1025	1644
AP2A2	46	83	27	62	33	47
AP2A2_1	0	0	30	22	22	39
AP2A2_2	0	0	13	3	18	23
AP2B1	1441	2679	1227	2247	1414	3260
AP2M1	2138	3659	2042	2683	2442	4823
AP2S1	836	1740	779	1225	827	962
AP3B1	510	1568	395	1339	519	2329
AP3B2	6	41	1	0	0	1
AP3D1	1477	2547	1239	3596	1398	7536
AP3M1	709	951	592	1378	727	1306
AP3M2	129	603	101	400	105	345
AP3S1	191	345	105	217	99	224
AP3S2	21	47	23	16	23	37
AP4B1	115	344	99	282	90	226
AP4B1-AS1	6	9	4	6	1	5
AP4E1	172	495	142	248	158	534
AP4M1	91	200	53	156	58	179
AP4S1	110	67	110	28	89	81
AP5B1	256	730	203	474	257	733
AP5M1	736	526	584	408	591	679
AP5S1	137	423	131	272	172	195
AP5Z1	171	816	142	488	169	1079
APAF1	113	435	78	272	71	405
APBA1	22	41	21	8	22	2
APBA1_1	0	0	0	0	0	0
APBA2	2	0	0	0	0	0
APBA2_1	0	0	0	0	0	0
APBA2_2	0	0	0	0	0	0
APBA3	118	109	109	141	151	295
APBB1	188	372	97	45	87	56
APBB1IP	375	1641	350	888	499	1011
APBB2	207	373	211	164	254	390
APBB3	199	278	143	375	153	113
APC	543	913	474	886	430	684
APC2	27	73	21	58	24	125
APCDD1	537	34	204	14	31	21
APCDD1L	0	0	1	1	0	7
APCDD1L-DT	0	0	0	0	0	0
APCS	18996	23537	18423	658	35579	10530
APEH	1416	1297	1617	1727	1639	804
APELA	0	0	0	0	0	0
APEX1	1067	2576	1077	4019	1094	2571
APEX2	228	580	153	1080	210	635
APH1A	1315	3167	1558	4977	1990	3211
APH1B	199	197	72	86	132	465
API5	998	2708	1067	1789	1037	2454
APIP	179	395	119	325	99	457
APLF	40	138	58	131	40	52
APLN	4	516	19	149	3	125
APLNR	499	65	294	72	250	220
APLP1	23	396	10	129	1	46
APLP2	8770	10787	8836	11006	8556	17527
APMAP	4345	6285	3540	3265	6771	4672
APOA1	110190	12528	120836	2039	84035	196
APOA1-AS	0	2	0	0	0	0
APOA2	97069	37253	109313	293258	59023	38948
APOA4	399	24	145	2296	1502	11
APOA5	6059	4736	5675	1062	12824	107
APOB	116297	104795	145334	61346	159531	29229
APOBEC1	0	0	0	0	0	0
APOBEC2	9	2	7	9	3	1
APOBEC3A	3	1	4	1	6	43
APOBEC3A_B	0	0	0	0	0	0
APOBEC3B	5	68	8	53	4	33
APOBEC3B-AS1	0	0	0	0	0	0
APOBEC3C	197	64	126	43	152	256
APOBEC3D	39	53	26	7	45	37
APOBEC3F	90	82	75	55	146	112
APOBEC3G	116	139	88	29	198	275
APOBEC3H	7	4	7	1	5	17
APOBEC4	0	0	0	1	0	0
APOBR	138	93	63	73	75	404
APOC1	64241	17693	72256	23955	60537	22473
APOC1P1	1580	99	442	27	228	65
APOC2	0	0	0	0	0	0
APOC3	66725	33928	82383	13364	85839	1892
APOC4	0	0	0	0	0	0
APOC4-APOC2	43	8	56	47	52	6
APOD	43	9	5	3	16	8
APOE	57416	59118	53901	41129	58770	63996
APOF	3619	232	5563	383	10721	27
APOH	131521	33865	146560	30088	114082	9425
APOL1	1925	1690	3649	1516	6494	861
APOL2	651	1065	919	734	1643	653
APOL3	662	916	801	349	3426	420
APOL4	29	26	90	44	68	142
APOL5	0	0	1	0	0	0
APOL5_1	0	0	4	4	0	0
APOL6	3714	2088	4104	3181	10457	2562
APOLD1	383	573	78	145	90	393
APOM	0	0	0	0	0	0
APOM_1	0	0	0	0	0	0
APOM_2	0	0	0	0	0	0
APOM_3	0	0	0	0	0	0
APOM_4	0	0	0	0	0	0
APOM_5	0	0	0	0	0	0
APOM_6	0	0	0	0	0	0
APOO	153	301	113	350	156	423
APOOL	790	1036	671	868	486	799
APOOP5	9	17	3	21	9	15
APP	11038	11768	6482	5342	7460	18407
APPBP2	607	1608	621	646	418	1645
APPL1	688	2387	484	1427	491	1224
APPL2	429	1721	348	1007	336	748
APRT	805	581	658	790	737	1298
APTR	77	264	84	99	70	133
APTX	275	608	308	572	277	579
AQP1	6276	245	1034	85	328	708
AQP10	1	29	0	4	0	20
AQP11	297	451	367	163	378	100
AQP12A	0	0	0	0	0	0
AQP12B	0	1	0	0	0	0
AQP2	0	0	0	0	0	0
AQP3	1334	1247	1125	147	1919	449
AQP4	142	25	37	3	33	6
AQP4-AS1	6	5	2	3	0	3
AQP5	1	2	0	0	0	0
AQP6	7	0	15	0	18	0
AQP7	214	63	116	18	245	33
AQP7P1	6	2	21	3	23	4
AQP7P3	0	0	0	0	0	0
AQP8	7	88	9	1	2	0
AQP9	9005	608	17132	817	11885	612
AQR	436	1285	434	556	472	1562
AR	3055	2596	5086	1376	4688	14
ARAF	841	1289	879	1052	1282	1121
ARAP1	1036	1944	849	1346	1128	1959
ARAP1-AS2	1	2	1	0	1	1
ARAP2	467	280	359	1102	359	626
ARAP3	187	193	95	143	78	216
ARC	0	3	2	0	6	6
ARCN1	1774	4699	1828	4050	1455	7738
AREG	77	12	13	2	4	18
AREL1	355	375	317	369	380	1001
ARF1	3499	9318	3129	21321	3450	14350
ARF3	1521	2392	1102	1917	1344	3856
ARF4	2035	8412	1593	5699	1559	7232
ARF4-AS1	6	22	8	11	5	13
ARF5	835	1106	614	1090	753	1612
ARF6	1595	1146	1251	1340	1156	1858
ARFGAP1	402	1395	361	935	354	1468
ARFGAP2	859	1066	1010	1032	1193	885
ARFGAP3	731	1186	611	2315	660	1591
ARFGEF1	748	1760	631	918	629	2670
ARFGEF2	1141	7046	1076	3389	1067	3537
ARFGEF3	93	1191	35	2248	9	2801
ARFIP1	571	851	357	507	408	632
ARFIP2	343	1281	320	777	325	1529
ARFRP1	290	269	249	273	258	397
ARG1	14380	11172	12371	4729	23715	4424
ARG2	49	453	28	16	12	64
ARGFX	0	0	0	0	0	0
ARGFXP2	1	2	0	6	1	0
ARGLU1	1811	1059	927	4126	1066	2341
ARHGAP1	608	1060	532	697	519	1523
ARHGAP10	223	585	293	251	137	235
ARHGAP11A	0	0	0	0	0	0
ARHGAP11A-SCG5	0	0	0	0	0	0
ARHGAP11A-SCG5_1	0	0	0	0	0	0
ARHGAP11A-SCG5_2	0	0	0	0	0	0
ARHGAP11A-SCG5_3	0	0	0	0	0	0
ARHGAP11A_1	0	0	0	0	0	0
ARHGAP11A_2	0	1	0	0	0	0
ARHGAP11A_3	0	0	0	0	0	0
ARHGAP11B	0	0	0	0	0	0
ARHGAP11B_1	0	0	0	0	0	0
ARHGAP11B_2	0	0	0	0	0	0
ARHGAP11B_3	0	0	0	0	0	0
ARHGAP12	848	1521	701	1074	554	3142
ARHGAP15	268	53	160	49	128	259
ARHGAP15-AS1	2	1	1	0	2	0
ARHGAP17	0	0	0	0	0	0
ARHGAP17_1	0	0	0	0	0	0
ARHGAP18	258	359	220	460	187	1497
ARHGAP19	126	132	134	366	110	132
ARHGAP19-SLIT1	0	0	0	0	0	0
ARHGAP20	40	183	67	75	48	22
ARHGAP21	581	1070	425	841	420	1814
ARHGAP22	16	27	7	29	9	84
ARHGAP22-IT1	0	0	0	0	0	0
ARHGAP23	4	4	1	1	0	6
ARHGAP23_1	2	2	5	0	2	5
ARHGAP24	323	65	224	78	154	538
ARHGAP25	258	120	200	71	320	475
ARHGAP26	287	279	275	205	196	459
ARHGAP26-AS1	0	0	2	0	1	0
ARHGAP26-IT1	1	1	0	0	0	0
ARHGAP27	0	0	0	0	0	0
ARHGAP27P1	41	37	18	30	16	38
ARHGAP27P1-BPTFP1-KPNA2P3	64	79	38	20	24	93
ARHGAP27P2	4	1	2	0	0	1
ARHGAP27_1	0	0	0	0	1	3
ARHGAP27_2	0	0	0	0	0	0
ARHGAP28	14	163	17	5	2	49
ARHGAP29	1634	2711	1050	539	977	2552
ARHGAP29-AS1	1	4	1	0	1	8
ARHGAP30	393	235	286	229	410	744
ARHGAP31	255	270	227	130	288	916
ARHGAP31-AS1	1	3	1	0	1	3
ARHGAP32	272	485	253	244	290	376
ARHGAP33	37	230	15	101	17	140
ARHGAP35	1888	4848	2222	2392	2340	1672
ARHGAP36	0	0	1	0	0	0
ARHGAP39	28	187	9	164	15	253
ARHGAP4	255	162	122	1122	287	537
ARHGAP40	2	0	1	0	0	0
ARHGAP42	530	1239	467	332	482	704
ARHGAP42-AS1	3	0	0	1	2	1
ARHGAP44	96	16	50	367	32	20
ARHGAP45	322	254	258	167	303	649
ARHGAP5	1363	3017	986	1043	826	1629
ARHGAP5-AS1	0	0	0	0	0	0
ARHGAP6	44	28	20	30	14	54
ARHGAP8	0	0	0	0	0	0
ARHGAP9	114	50	83	52	118	187
ARHGDIA	1856	4361	1701	2240	1914	2571
ARHGDIB	1530	729	913	714	2064	2874
ARHGDIG	1	3	0	0	0	0
ARHGEF1	487	798	422	781	447	1159
ARHGEF10	0	0	0	0	0	0
ARHGEF10L	1154	1843	1194	2056	1296	1966
ARHGEF10_1	0	0	0	0	0	0
ARHGEF11	424	1898	449	2381	465	1416
ARHGEF12	4573	6007	3714	3873	4556	6172
ARHGEF15	89	103	82	41	95	95
ARHGEF16	143	209	54	115	89	2
ARHGEF17	260	207	163	131	169	139
ARHGEF18	597	563	435	819	540	1295
ARHGEF19	56	189	14	95	8	12
ARHGEF2	377	683	244	3196	259	1816
ARHGEF2-AS1	0	1	0	0	0	0
ARHGEF2-AS2	2	9	1	11	4	3
ARHGEF25	97	112	34	13	26	33
ARHGEF26	0	1	0	0	0	0
ARHGEF26-AS1	6	19	23	5	8	5
ARHGEF26_1	0	0	0	0	0	0
ARHGEF28	461	869	296	411	207	555
ARHGEF3	259	431	168	226	204	575
ARHGEF3-AS1	0	0	0	0	0	0
ARHGEF33	10	2	9	4	1	1
ARHGEF34P	0	1	0	0	0	0
ARHGEF34P_1	0	0	0	0	0	0
ARHGEF35	11	62	0	0	3	12
ARHGEF35-AS1	0	0	0	0	0	0
ARHGEF35-AS1_1	0	0	0	0	0	0
ARHGEF35_1	6	37	20	40	5	36
ARHGEF37	123	847	75	117	56	257
ARHGEF38	43	3	19	12	7	42
ARHGEF38-IT1	0	0	0	0	0	1
ARHGEF39	16	301	7	240	2	128
ARHGEF4	31	21	13	50	9	2
ARHGEF40	919	1269	1079	4042	949	1240
ARHGEF5	2	1	0	1	0	0
ARHGEF5_1	7	36	5	14	8	23
ARHGEF6	375	618	287	255	345	846
ARHGEF7	776	700	600	1276	696	1053
ARHGEF7-AS1	0	0	0	0	0	0
ARHGEF7-AS2	2	0	1	0	1	0
ARHGEF9	143	125	164	390	118	147
ARHGEF9-IT1	1	0	0	0	0	0
ARID1A	1050	2380	1003	1272	836	2412
ARID1B	739	1406	658	1254	573	1717
ARID2	444	747	376	546	265	770
ARID3A	90	222	68	186	58	225
ARID3B	31	84	28	24	35	190
ARID3C	171	64	165	10	150	38
ARID4A	1499	527	1287	559	834	622
ARID4B	1396	1586	822	3230	660	2141
ARID5A	229	768	380	175	491	419
ARID5B	608	272	383	864	192	634
ARIH1	1096	2184	901	1050	944	2308
ARIH2	710	2216	635	1713	676	1026
ARIH2OS	9	18	13	17	8	18
ARL1	1068	2536	1010	2757	945	4237
ARL10	94	102	66	221	57	73
ARL11	30	20	23	16	48	78
ARL13A	2	2	0	1	0	0
ARL13B	194	331	126	275	108	477
ARL14	55	5	3	11	1	51
ARL14EP	375	415	413	546	331	495
ARL14EPL	1	0	0	0	0	0
ARL15	416	334	166	217	183	559
ARL16	146	349	133	231	136	360
ARL17A	0	0	0	2	0	0
ARL17A_1	2	5	0	0	0	3
ARL17B	0	0	3	7	0	0
ARL2	127	257	67	153	83	261
ARL2-SNX15	1	3	0	0	0	1
ARL2BP	668	1163	505	626	510	2569
ARL3	332	363	242	252	178	392
ARL4A	162	440	129	318	153	488
ARL4C	1154	675	408	1025	473	1406
ARL4D	136	503	412	669	412	372
ARL5A	933	1275	702	944	642	1678
ARL5B	1647	2535	915	2592	1007	7230
ARL5C	0	0	0	0	0	0
ARL6	100	84	52	195	59	317
ARL6IP1	5737	11266	4751	6342	3903	2980
ARL6IP4	1569	2215	1666	2407	1499	911
ARL6IP5	1802	1121	1088	1001	1379	2902
ARL6IP6	127	263	88	167	59	336
ARL8A	565	955	481	2269	485	1490
ARL8B	1047	3180	880	1641	923	2275
ARL9	5	1	1	0	1	3
ARLNC1	4	6	3	2	4	1
ARMC1	589	1610	484	1351	488	1750
ARMC10	38	62	39	58	42	112
ARMC10_1	0	0	0	0	0	0
ARMC12	9	21	10	3	10	7
ARMC2	20	18	12	32	17	51
ARMC2-AS1	0	0	1	1	0	1
ARMC3	1	2	0	2	0	1
ARMC4	0	33	0	47	2	1
ARMC4P1	1	2	0	2	0	10
ARMC4P1_1	0	1	0	0	0	3
ARMC5	222	419	284	278	330	83
ARMC6	761	597	680	385	867	658
ARMC7	125	379	112	178	82	300
ARMC8	325	736	288	520	308	812
ARMC9	74	79	26	153	26	188
ARMCX1	150	314	80	19	64	983
ARMCX2	122	57	60	18	44	1451
ARMCX3	850	1506	562	115	459	2940
ARMCX4	132	64	72	128	57	131
ARMCX5	169	266	137	246	161	342
ARMCX5-GPRASP2	10	14	13	15	5	23
ARMCX6	54	99	41	11	37	218
ARMH1	51	32	32	17	65	18
ARMH2	1	26	3	2	1	0
ARMH3	385	445	347	411	464	594
ARMH4	62	83	36	30	21	15
ARMS2	0	0	0	1	0	0
ARMT1	795	1444	724	885	631	1497
ARNT	1134	2355	1249	4913	1316	2202
ARNT2	114	220	47	19	27	747
ARNTL	148	668	176	350	140	600
ARNTL2	123	792	55	693	66	1246
ARNTL2-AS1	0	2	0	1	0	1
ARPC1A	858	2106	875	2080	821	1826
ARPC1B	1082	1693	674	1640	1235	4562
ARPC2	2217	3410	1656	2363	2266	7341
ARPC3	945	1942	595	1217	880	3470
ARPC4	822	1638	670	1024	809	1353
ARPC4-TTLL3	0	0	2	0	1	2
ARPC5	1848	4347	1284	9212	1539	8137
ARPC5L	461	1060	412	831	390	1507
ARPIN	405	2364	271	557	234	559
ARPIN-AP3S2	0	0	0	0	0	0
ARPP19	1409	3878	1079	1461	909	3787
ARPP21	86	0	6	0	36	3
ARR3	2	2	0	1	1	2
ARRB1	445	685	451	280	493	508
ARRB2	668	871	425	948	463	1523
ARRDC1	306	285	267	275	292	523
ARRDC1-AS1	65	198	48	108	55	120
ARRDC2	617	516	150	478	132	1109
ARRDC3	903	1761	1535	1802	2784	6972
ARRDC3-AS1	5	8	1	4	2	17
ARRDC4	894	470	408	364	480	688
ARRDC5	7	0	3	1	2	2
ARSA	527	415	633	485	613	275
ARSB	224	291	428	308	381	598
ARSD	1200	605	1246	525	1255	1162
ARSD-AS1	0	0	0	0	0	0
ARSF	15	0	27	1	28	1
ARSG	75	79	47	95	56	70
ARSH	0	0	0	0	0	0
ARSI	5	46	6	16	3	16
ARSJ	145	171	53	106	53	152
ARSK	123	176	102	75	125	187
ARSL	1367	1071	1671	781	1176	1008
ART1	0	0	0	0	0	0
ART3	3	0	8	1	1	7
